timestep:         0.0127065600000000
yAxisLabel:velocity [m/s]       
title:bogies velocity   
vv1,    vv2,    
  0.0033181736315157,  0.0015017595318274,
  0.0038336227272736,  0.0010980922377588,
  0.0044657279247476,  0.0006850397002151,
  0.0051317136189777,  0.0003538321986521,
  0.0057552744992331,  0.0001848312772857,
  0.0062539497228471,  0.0002591669759090,
  0.0065719127193684,  0.0006259670843465,
  0.0066743805054546,  0.0013090266513876,
  0.0065718838267641,  0.0022836047764836,
  0.0062970626867205,  0.0035009188154868,
  0.0059250833908272,  0.0048695944025038,
  0.0055355714333156,  0.0062957290986891,
  0.0052202458173300,  0.0076753291763640,
  0.0050453125258967,  0.0089310449813666,
  0.0050586172328150,  0.0100047662806679,
  0.0052731755228292,  0.0108742142836121,
  0.0056868223298574,  0.0115323677475441,
  0.0062803936155664,  0.0119884153684328,
  0.0070400019638103,  0.0122452394233893,
  0.0079285975904172,  0.0123283871553742,
  0.0089108865908116,  0.0122617870856836,
  0.0099487215579534,  0.0120731891518505,
  0.0110204122160017,  0.0117755918089920,
  0.0120785277341811,  0.0114102692097922,
  0.0130814969506657,  0.0110156298213084,
  0.0139933932656449,  0.0106273133079122,
  0.0147938659179361,  0.0102674005023658,
  0.0154500701548876,  0.0099718152110793,
  0.0159327960794901,  0.0097736398170103,
  0.0162157508203583,  0.0097032071475195,
  0.0162967814237338,  0.0097662032542069,
  0.0161739131045019,  0.0099677588686590,
  0.0158636429816996,  0.0102944602723142,
  0.0153821809146718,  0.0107328274610536,
  0.0147624313488775,  0.0112513863017423,
  0.0140452046462109,  0.0118093712251980,
  0.0132886286241850,  0.0123474357356639,
  0.0125387276837289,  0.0128168488510934,
  0.0118463865878831,  0.0131627807825221,
  0.0112588192976256,  0.0133344132556040,
  0.0108178044340141,  0.0132879596950389,
  0.0105164628884216,  0.0130305006916317,
  0.0103301201844346,  0.0125899361149782,
  0.0102134568347822,  0.0120185757901636,
  0.0101168958387230,  0.0113758269632820,
  0.0099800179703300,  0.0107334469946924,
  0.0097483275840646,  0.0101580159528864,
  0.0093709174547281,  0.0097124781370184,
  0.0088335887285751,  0.0094213998974560,
  0.0081387822255453,  0.0092895730658972,
  0.0073119826806584,  0.0092950181919821,
  0.0063794790049350,  0.0094116988715759,
  0.0053840763583114,  0.0095942125311546,
  0.0043665387308609,  0.0097969881006202,
  0.0033691082310601,  0.0099717990938499,
  0.0024162369917368,  0.0100884104577843,
  0.0015318930303442,  0.0101185026705229,
